CRUT;NSECPREV;CCLI;CTIPMOD;CMOD;NSECMOD;CTIPFV;CUSER;CIDPR;FUPGR;TUPGR
012;0085;07000607;01;00012;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
012;0105;07000611;01;00012;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
012;0125;07000612;01;00012;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
012;0005;07000614;01;00012;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
012;0140;07000616;01;00012;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
012;0095;07000619;01;00012;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
012;0120;07000620;01;00012;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0105;07000624;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0075;07000626;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0055;07000627;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0130;07000628;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0135;07000629;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0150;07000630;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0225;07000633;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0230;07000634;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0255;07000637;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0260;07000640;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0305;07000642;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0240;07000650;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0095;07000661;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0310;07000673;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
022;0165;07000685;01;00022;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0125;07000696;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0130;07000697;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0140;07000698;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0145;07000699;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0175;07000701;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0275;07000710;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
057;0040;07000717;01;00057;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0065;07000723;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0100;07000726;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0120;07000729;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
032;0255;07000734;01;00032;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
042;0005;07000741;01;00042;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
042;0020;07000744;01;00042;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
042;0045;07000748;01;00042;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
042;0075;07000751;01;00042;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
042;0085;07000752;01;00042;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0010;07000766;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0020;07000768;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0095;07000774;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0110;07000775;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0120;07000776;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0125;07000778;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0130;07000779;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0145;07000782;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0225;07000789;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
052;0205;07000792;01;00052;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0030;07000793;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0035;07000796;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0040;07000797;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0075;07000804;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0100;07000807;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0105;07000808;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0095;07000809;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0135;07000814;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0130;07000815;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0050;07000825;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0070;07000827;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0010;07000829;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0062;07000830;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
007;0055;07000841;01;00007;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
017;0035;07000851;01;00017;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
017;0050;07000852;01;00017;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
017;0075;07000855;01;00017;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
017;0090;07000857;01;00017;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
017;0105;07000859;01;00017;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
017;0070;07000866;01;00017;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
017;0025;07000871;01;00017;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0240;07000874;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0100;07000876;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0025;07000878;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0065;07000880;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0150;07000887;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0220;07000894;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0265;07000895;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0095;07000904;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0140;07000905;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
027;0270;07000912;01;00027;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
040;0015;07000923;01;00040;00001;1;SICSOFT;BATCH;23/07/2018;03:42:00
