id;crut;clin;cter;creg;ccendis;ccono;care;czon;npdv;crutdis;tdes;csisven;ncompvt;ctipmod;cdis;cuser;cidpr;fupgr;tupgr;created_at;updated_at;dia_visita;vendedor_id;empresa_id;lista_precio_id;dia
81;82;3;7;7;7;7;1;103;54;1;BAYOVAR 10 DE OCTUBR;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;20;1;1;4
19222;162;3;7;7;7;7;1;103;15;1;BODEGA MERCADOS LEAO;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;-;#N/D;#N/D;#N/D;#N/D
19223;163;3;7;7;7;7;1;103;154;1;MERCADOS LEAO2;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Domingo;20;1;2;7
3;38;3;7;7;7;7;1;113;83;1;PEDREGAL - JICAMARCA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;21;1;1;4
15;59;3;7;7;7;7;1;113;61;1;PAJATEN - ZARATE;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;21;1;1;6
27;27;3;7;7;7;7;1;113;78;1;SAN GABRIEL;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;21;1;1;3
33;65;3;7;7;7;7;1;113;83;1;CELIMA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;21;1;1;5
36;19;3;7;7;7;7;1;113;93;1;STA MARIA - BOLIVAR;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;21;1;1;2
66;62;3;7;7;7;7;1;113;79;1;VILLA HERMOSA - HUAS;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;21;1;1;1
80;81;3;7;7;7;7;1;113;101;1;POSTES LAS FLORES;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Domingo;21;1;1;7
49;26;3;7;7;7;7;1;123;63;1;SAN CARLOS;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;22;1;1;1
50;56;3;7;7;7;7;1;123;95;1;PENAL CASTRO CASTRO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;22;1;1;6
56;29;3;7;7;7;7;1;123;158;1;LAS FLORES - STO DOM;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;22;1;1;2
63;30;3;7;7;7;7;1;123;92;1;INTERMEDIO-MARISCAL;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;22;1;1;3
65;61;3;7;7;7;7;1;123;69;1;CHIMU - SODIMAC;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;22;1;1;1
132;123;3;7;7;7;7;1;123;69;1;SAN ANTONIO DE CARAP;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;22;1;1;5
134;125;3;7;7;7;7;1;123;103;1;GLORIA GRANDE-SJ;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;22;1;1;4
5426;148;3;7;7;7;7;1;123;105;1;ALEXANDER MERCADOS;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Domingo;22;1;2;7
75;76;3;7;7;7;7;1;133;386;1;MAYORISTA WINTER HUG;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;23;1;2;1
154;146;3;7;7;7;7;1;133;43;1;WINTER2 HUGO MAYORIS;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;23;1;2;2
29;37;3;7;7;7;7;1;153;79;1;CERRO CAMOTE - LA EN;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;24;1;1;4
34;5;3;7;7;7;7;1;153;128;1;MARISCAL SEOANE;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;24;1;1;1
59;44;3;7;7;7;7;1;153;111;1;PROVIDENCIA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;24;1;1;3
64;60;3;7;7;7;7;1;153;121;1;HUACHIPA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;24;1;1;5
70;70;3;7;7;7;7;1;153;124;1;LOS POSTES PROVIDENC;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;24;1;1;2
